Text,Category
"China had role in Yukos split-up
 
 China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed.
 ",business
"Oil rebounds from weather effect
 
 Oil prices recovered in Asian trade on Tuesday, after falling in New York on milder winter weather across the US.",business
"Indonesia 'declines debt freeze'
 
 Indonesia no longer needs the debt freeze offered by the Paris Club group of creditors, Economics Minister Aburizal Bakrie has reportedly said.",business
"$1m payoff for former Shell boss
 
 Shell is to pay $1m (£522,000) to the ex-finance chief who stepped down from her post in April 2004 after the firm over-stated its reserves.",business
"US bank in $515m SEC settlement
 
 Five Bank of America subsidiaries have agreed to pay a total of $515m (£277m) to settle an investigation into fraudulent trading share practices.",business
"Verizon 'seals takeover of MCI'
 
 Verizon has won a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn), reports say.",business
"Parmalat boasts doubled profits
 
 Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.",business
"US seeks new $280bn smoker ruling
 
 The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.",business
"Steel firm 'to cut' 45,000 jobs
 
 Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.",business
"Cars pull down US retail figures
 
 US retail sales fell 0.3% in January, the biggest monthly decline since last August, driven down by a heavy fall in car sales.",business
"Singapore growth at 8.1% in 2004
 
 Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.",business
"UK bank seals South Korean deal
 
 UK-based bank Standard Chartered said it would spend $3.3bn (£1.8bn) to buy one of South Korea's main retail banks.",business
"ECB holds rates amid growth fears
 
 The European Central Bank has left its key interest rate unchanged at 2% for the 19th month in succession.
",business
"Rank 'set to sell off film unit'
 
 Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.
",business
"US adds more jobs than expected
 
 The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations.
",business
"House prices show slight increase
 
 Prices of homes in the UK rose a seasonally adjusted 0.5% in February, says the Nationwide building society.",business
"Pension hitch for long-living men
 
 Male life expectancy is much higher than originally estimated, leading pension researchers have said.",business
"Asian quake hits European shares
 
 Shares in Europe's leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent.

",business
"Honda wins China copyright ruling
 
 Japan's Honda has won a copyright case in Beijing, further evidence that China is taking a tougher line on protecting intellectual property rights.
",business
"Bank set to leave rates on hold
 
 UK interest rates are set to remain on hold at 4.75% following the latest meeting of the Bank of England.
",business
"Byrds producer Melcher dies at 62
 
 Record producer Terry Melcher, who was behind hits by the Byrds, Ry Cooder and the Beach Boys, has died aged 62.
",entertainment
"BBC to pour £9m into new comedy
 
 The BBC is to invest £9m in developing new comedy and entertainment programmes outside London.
",entertainment
"Brits return Keane to number one
 
 Brits success has helped return Keane's award-winning album Hopes and Fears back to the top of the UK album chart.",entertainment
"Fightstar take to the stage
 
 Charlie Simpson took his new band Fightstar to the stage on Friday night, just hours after officially announcing his departure from pop band Busted.
",entertainment
"Deal to ban 'homophobic' reggae
 
 The reggae industry is to refuse to release or stage concerts featuring homophobic songs under a global deal struck with gay rights groups.
",entertainment
"Film row over Pirates 'cannibals'
 
 Plans to portray Dominica's Carib Indians as cannibals in the sequel to hit film Pirates of the Caribbean have been criticised by the group's chief.
",entertainment
"Brit awards for Devon music acts
 
 Devon singer Joss Stone and rock band Muse won coveted Brit awards during the event's 25th anniversary.
",entertainment
"Queen recruit singer for new tour
 
 The remaining members of rock band Queen are to go on tour next year with former Free and Bad Company singer Paul Rodgers taking Freddie Mercury's place.",entertainment
"Oasis star fined for German brawl
 
 Oasis singer Liam Gallagher has been fined 50,000 euros (£35,000) after a fight in a German hotel two years ago.

",entertainment
"Tarantino to direct CSI episode
 
 Film director Quentin Tarantino is to direct an episode of US television series CSI: Crime Scene Investigation.
",entertainment
"Campaigners attack MTV 'sleaze'
 
 MTV has been criticised for ""incessant sleaze"" by television indecency campaigners in the US.
",entertainment
"Public show for Reynolds portrait
 
 Sir Joshua Reynolds' Portrait of Omai will get a public airing following fears it would stay hidden because of an export wrangle.
",entertainment
"Sky takes over Oscar night mantle
 
 Sky has signed a major new deal to broadcast this year's Academy Awards, taking over from three years of live Oscar coverage on the BBC.
",entertainment
"Roundabout continues nostalgia trip
 
 The new big-screen version of The Magic Roundabout, released in the UK on Friday, is the latest attempt to turn children's television into box-office gold.

",entertainment
"Ten-year tragedy of missing Manic
 
 Richey Edwards, guitarist and lyricist for The Manic Street Preachers, vanished 10 years ago, on 1 February 1995. His disappearance remains one of the most tragic mysteries in rock music.",entertainment
"Row threatens Hendrix museum plan
 
 Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.
",entertainment
"Pupils to get anti-piracy lessons
 
 Lessons on music piracy and copyright issues are to be taught to secondary school pupils in the UK.

",entertainment
"Top of the Pops leaves BBC One
 
 The BBC's flagship pop music programme Top of the Pops is to move from BBC One on Fridays to Sundays on BBC Two.",entertainment
"How the Academy Awards flourished
 
 The 77th annual Academy Awards are taking place on 27 February with the stars of the movie-making world once again holding their breath to discover who will be showered with the honours this year. But from humble beginnings, how did the modern day extravaganza become the behemoth it is today?
",entertainment
"Arthur Hailey: King of the bestsellers
 
 Novelist Arthur Hailey, who has died at the age of 84, was known for his bestselling page-turners exploring the inner workings of various industries, from the hotels to high finance.
",entertainment
"Brown names 16 March for Budget
 
 Chancellor Gordon Brown will deliver his Budget to the House of Commons on 16 March, the Treasury has announced.
",politics
"Hunt ban support is 'in decline'
 
 Support for a ban on hunting has fallen in the past six years, a poll suggests.
",politics
"Tories plan migrant health checks
 
 Non-European Union citizens wanting to work in the UK will have to undergo tests for Tuberculosis and HIV, under plans unveiled by the Conservatives.
",politics
"Protect whistleblowers, TUC says
 
 The government should change the law to give more protection to employees who raise health and safety concerns about their workplaces, the TUC has said.

",politics
"Tsunami debt deal to be announced
 
 Chancellor Gordon Brown has said he hopes to announce a deal to suspend debt interest repayments by tsunami-hit nations later on Friday.
",politics
"Royal couple watch nation's mood
 
 Prince Charles and Camilla Parker Bowles are awaiting the nation's reaction after announcing they are to be married on 8 April.
",politics
"Butler launches attack on Blair
 
 Former civil service chief Lord Butler has criticised the way Tony Blair's government operates, accusing it of being obsessed with headlines.
",politics
"Drive to 'save' festive holidays
 
 Efforts are being made to 'protect' workers' days off on Christmas Day and New Year's Day.
",politics
"Howard pitches for UK ethnic vote
 
 Michael Howard is to make a pitch for Britain's ethnic vote urging people who feel ""taken for granted"" by Tony Blair to vote Conservative.
",politics
"Tories urge 'change at the top'
 
 Tory delegates are gathering for what is expected to be their last conference before the general election, declaring Britain needs ""a change at the top"".
",politics
"Blair backs 'pre-election budget'
 
 Tony Blair has backed Chancellor Gordon Brown's pre-Budget report amid opposition claims he was too bullish about the state of the UK economy.
",politics
